beta,train accuracy,test accuracy
1e-06,0.58603895,0.57203496
3.162277660168379e-06,0.58016986,0.572784
1e-05,0.5814186,0.5662921
3.1622776601683795e-05,0.5834166,0.57053685
0.0001,0.58966035,0.5755306
0.00031622776601683794,0.5788586,0.5585518
0.001,0.5788586,0.5635456
0.0031622776601683794,0.58035713,0.5645443
0.01,0.5633117,0.5465668
0.03162277660168379,0.5616259,0.54332083
0.1,0.54957545,0.5303371
0.31622776601683794,0.53121877,0.53333336
1.0,0.5158591,0.509613
3.1622776601683795,0.50343406,0.5078652
10.0,0.5024975,0.50586766
31.622776601683793,0.5,0.49013734
100.0,0.50024974,0.50337076
